Neighborhood Number,Neighborhood Name,Neighborhood Primary District,Neighborhood Addl District
0,Unknown,,
1,Cardonlet,1,
2,Patch,1,
3,Holly Hills,1,
4,Boulevard Heights,1,
5,Bevo Mill,1,
6,Princeton Heights,1,2
7,South Hampton,2,
8,St. Louis Hills,2,
9,Lindenwood Park,2,
10,Ellendale,2,
11,Clifton Heights,2,
12,The Hill,2,
13,Southwest Garden,2,3
14,North Hampton,2,
15,Tower Grove South,3,
16,Dutchtown,1,
17,Mount Pleasant,1,
18,Marine Villa,1,3
19,Gravois Park,3,
20,Kosciusko,3,
21,Soulard,3,
22,Benton Park,3,
23,McKinley Heights,3,
24,Fox Park,3,
25,Tower Grove East,3,
26,Compton Heights,3,
27,Shaw,3,
28,McRee Town,9,
29,Tiffany,9,
30,Benton Park West,3,
31,The Gate District,9,
32,Lafayette Square,4,
33,Peabody-Darst-Webbe,4,
34,Lasalle,4,
35,Downtown,4,
36,Downtown West,4,
37,Midtown,9,
38,Central West End,7,9
39,Forest Park SE,9,
40,Kings Oak,2,
41,Cheltenham,2,
42,Clayton-Tamm,2,
43,Franz Park,2,
44,Hi-Point,2,
45,Wydown-Skinker,2,
46,Skinker-DeBaliviere,7,
47,DeBaliviere Place,7,
48,West Ellendale,7,
49,Visitation Park,7,
50,Wells-Goodfellow,7,
51,Academy,7,
52,Kingsway West,7,
53,Fountain Park,8,
54,Lewis Place,8,
55,Kingsway East,8,
56,The Great Ville,8,
57,The Ville,8,
58,Vandeventer,8,
59,Jeff Vanderlou,5,9
60,St. Louis Place,4,5
61,Carr Square,4,
62,Columbus Square,4,
63,Old North St. Louis,4,5
64,Near N. Riverfront,4,5
65,Hyde Park,5,
66,College Hill,5,
67,Fairground Neighborhood,5,
68,O'Fallon,5,6
69,Penrose,6,
70,Mark Twain I-70 Ind.,6,
71,Mark Twain,6,
72,Walnut Park East,6,
73,North Point,6,
74,Baden,6,
75,Riverview,6,
76,Walnut Park West,6,
77,Covenant Blu - Grand Center,9,
78,Hamilton Heights,7,
79,North Riverfront,6,
80,Carondelet Park,1,
81,Tower Grove Park,3,
82,Forest Park,2,
83,Fairgrounds Park,5,
84,Penrose Park,6,
85,O'Fallon Park,6,
86,Calvary-Bellefontaine Cemetaries,6,
87,Botanical Garden,,
88,Wilmore Park,,